initial_alias,converted_alias,name,description,namespace
56848,ENSG00000063176,SPHK2,sphingosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:18859],ENTREZGENE_ACC
8877,ENSG00000176170,SPHK1,sphingosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:11240],ENTREZGENE_ACC
130752,ENSG00000138400,MDH1B,malate dehydrogenase 1B [Source:HGNC Symbol;Acc:HGNC:17836],ENTREZGENE_ACC
339221,ENSG00000182156,ENPP7,ectonucleotide pyrophosphatase/phosphodiesterase 7 [Source:HGNC Symbol;Acc:HGNC:23764],ENTREZGENE_ACC
55512,ENSG00000103056,SMPD3,sphingomyelin phosphodiesterase 3 [Source:HGNC Symbol;Acc:HGNC:14240],ENTREZGENE_ACC
55627,ENSG00000136699,SMPD4,sphingomyelin phosphodiesterase 4 [Source:HGNC Symbol;Acc:HGNC:32949],ENTREZGENE_ACC
6609,ENSG00000166311,SMPD1,sphingomyelin phosphodiesterase 1 [Source:HGNC Symbol;Acc:HGNC:11120],ENTREZGENE_ACC
6610,ENSG00000135587,SMPD2,sphingomyelin phosphodiesterase 2 [Source:HGNC Symbol;Acc:HGNC:11121],ENTREZGENE_ACC
259230,ENSG00000198964,SGMS1,sphingomyelin synthase 1 [Source:HGNC Symbol;Acc:HGNC:29799],ENTREZGENE_ACC
6646,ENSG00000057252,SOAT1,sterol O-acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:11177],ENTREZGENE_ACC
6723,ENSG00000116649,SRM,spermidine synthase [Source:HGNC Symbol;Acc:HGNC:11296],ENTREZGENE_ACC
6647,ENSG00000142168,SOD1,superoxide dismutase 1 [Source:HGNC Symbol;Acc:HGNC:11179],ENTREZGENE_ACC
6648,ENSG00000291237,SOD2,superoxide dismutase 2 [Source:HGNC Symbol;Acc:HGNC:11180],ENTREZGENE_ACC
6697,ENSG00000116096,SPR,sepiapterin reductase [Source:HGNC Symbol;Acc:HGNC:11257],ENTREZGENE_ACC
6713,ENSG00000104549,SQLE,squalene epoxidase [Source:HGNC Symbol;Acc:HGNC:11279],ENTREZGENE_ACC
2222,ENSG00000079459,FDFT1,farnesyl-diphosphate farnesyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:3629],ENTREZGENE_ACC
6715,ENSG00000145545,SRD5A1,steroid 5 alpha-reductase 1 [Source:HGNC Symbol;Acc:HGNC:11284],ENTREZGENE_ACC
6716,ENSG00000277893,SRD5A2,steroid 5 alpha-reductase 2 [Source:HGNC Symbol;Acc:HGNC:11285],ENTREZGENE_ACC
15,ENSG00000129673,AANAT,aralkylamine N-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:19],ENTREZGENE_ACC
11185,ENSG00000241644,INMT,indolethylamine N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:6069],ENTREZGENE_ACC
10402,ENSG00000064225,ST3GAL6,"ST3 beta-galactoside alpha-2,3-sialyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:18080]",ENTREZGENE_ACC
10610,ENSG00000070731,ST6GALNAC2,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:10867]",ENTREZGENE_ACC
256435,ENSG00000184005,ST6GALNAC3,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:19343]",ENTREZGENE_ACC
30815,ENSG00000160408,ST6GALNAC6,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:23364]",ENTREZGENE_ACC
81849,ENSG00000117069,ST6GALNAC5,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:19342]",ENTREZGENE_ACC
6489,ENSG00000111728,ST8SIA1,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10869]",ENTREZGENE_ACC
29906,ENSG00000101638,ST8SIA5,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:17827]",ENTREZGENE_ACC
412,ENSG00000101846,STS,steroid sulfatase [Source:HGNC Symbol;Acc:HGNC:11425],ENTREZGENE_ACC
6821,ENSG00000139531,SUOX,sulfite oxidase [Source:HGNC Symbol;Acc:HGNC:11460],ENTREZGENE_ACC
6533,ENSG00000131389,SLC6A6,solute carrier family 6 member 6 [Source:HGNC Symbol;Acc:HGNC:11052],ENTREZGENE_ACC
5092,ENSG00000166228,PCBD1,pterin-4 alpha-carbinolamine dehydratase 1 [Source:HGNC Symbol;Acc:HGNC:8646],ENTREZGENE_ACC
23530,ENSG00000112992,NNT,nicotinamide nucleotide transhydrogenase [Source:HGNC Symbol;Acc:HGNC:7863],ENTREZGENE_ACC
79178,ENSG00000259431,THTPA,thiamine triphosphatase [Source:HGNC Symbol;Acc:HGNC:18987],ENTREZGENE_ACC
79896,ENSG00000185875,THNSL1,threonine synthase like 1 [Source:HGNC Symbol;Acc:HGNC:26160],ENTREZGENE_ACC
27010,ENSG00000196511,TPK1,thiamin pyrophosphokinase 1 [Source:HGNC Symbol;Acc:HGNC:17358],ENTREZGENE_ACC
1890,ENSG00000025708,TYMP,thymidine phosphorylase [Source:HGNC Symbol;Acc:HGNC:3148],ENTREZGENE_ACC
7298,ENSG00000176890,TYMS,thymidylate synthetase [Source:HGNC Symbol;Acc:HGNC:12441],ENTREZGENE_ACC
55217,ENSG00000185973,TMLHE,"trimethyllysine hydroxylase, epsilon [Source:HGNC Symbol;Acc:HGNC:18308]",ENTREZGENE_ACC
10587,ENSG00000184470,TXNRD2,thioredoxin reductase 2 [Source:HGNC Symbol;Acc:HGNC:18155],ENTREZGENE_ACC
114112,ENSG00000197763,TXNRD3,thioredoxin reductase 3 [Source:HGNC Symbol;Acc:HGNC:20667],ENTREZGENE_ACC
7296,ENSG00000198431,TXNRD1,thioredoxin reductase 1 [Source:HGNC Symbol;Acc:HGNC:12437],ENTREZGENE_ACC
121278,ENSG00000139287,TPH2,tryptophan hydroxylase 2 [Source:HGNC Symbol;Acc:HGNC:20692],ENTREZGENE_ACC
7166,ENSG00000129167,TPH1,tryptophan hydroxylase 1 [Source:HGNC Symbol;Acc:HGNC:12008],ENTREZGENE_ACC
169355,ENSG00000188676,IDO2,"indoleamine 2,3-dioxygenase 2 [Source:HGNC Symbol;Acc:HGNC:27269]",ENTREZGENE_ACC
6999,ENSG00000151790,TDO2,"tryptophan 2,3-dioxygenase [Source:HGNC Symbol;Acc:HGNC:11708]",ENTREZGENE_ACC
6916,ENSG00000059377,TBXAS1,thromboxane A synthase 1 [Source:HGNC Symbol;Acc:HGNC:11609],ENTREZGENE_ACC
7054,ENSG00000180176,TH,tyrosine hydroxylase [Source:HGNC Symbol;Acc:HGNC:11782],ENTREZGENE_ACC
7306,ENSG00000107165,TYRP1,tyrosinase related protein 1 [Source:HGNC Symbol;Acc:HGNC:12450],ENTREZGENE_ACC
29880,ENSG00000120697,ALG5,ALG5 dolichyl-phosphate beta-glucosyltransferase [Source:HGNC Symbol;Acc:HGNC:20266],ENTREZGENE_ACC
23169,ENSG00000116704,SLC35D1,solute carrier family 35 member D1 [Source:HGNC Symbol;Acc:HGNC:20800],ENTREZGENE_ACC
11046,ENSG00000130958,SLC35D2,solute carrier family 35 member D2 [Source:HGNC Symbol;Acc:HGNC:20799],ENTREZGENE_ACC
23443,ENSG00000117620,SLC35A3,solute carrier family 35 member A3 [Source:HGNC Symbol;Acc:HGNC:11023],ENTREZGENE_ACC
84912,ENSG00000205060,SLC35B4,solute carrier family 35 member B4 [Source:HGNC Symbol;Acc:HGNC:20584],ENTREZGENE_ACC
7357,ENSG00000148154,UGCG,UDP-glucose ceramide glucosyltransferase [Source:HGNC Symbol;Acc:HGNC:12524],ENTREZGENE_ACC
54576,ENSG00000242366,UGT1A8,UDP glucuronosyltransferase family 1 member A8 [Source:HGNC Symbol;Acc:HGNC:12540],ENTREZGENE_ACC
54575,ENSG00000242515,UGT1A10,UDP glucuronosyltransferase family 1 member A10 [Source:HGNC Symbol;Acc:HGNC:12531],ENTREZGENE_ACC
54577,ENSG00000244122,UGT1A7,UDP glucuronosyltransferase family 1 member A7 [Source:HGNC Symbol;Acc:HGNC:12539],ENTREZGENE_ACC
54578,ENSG00000167165,UGT1A6,UDP glucuronosyltransferase family 1 member A6 [Source:HGNC Symbol;Acc:HGNC:12538],ENTREZGENE_ACC
54579,ENSG00000288705,UGT1A5,UDP glucuronosyltransferase family 1 member A5 [Source:HGNC Symbol;Acc:HGNC:12537],ENTREZGENE_ACC
54600,ENSG00000241119,UGT1A9,UDP glucuronosyltransferase family 1 member A9 [Source:HGNC Symbol;Acc:HGNC:12541],ENTREZGENE_ACC
54657,ENSG00000244474,UGT1A4,UDP glucuronosyltransferase family 1 member A4 [Source:HGNC Symbol;Acc:HGNC:12536],ENTREZGENE_ACC
54658,ENSG00000241635,UGT1A1,UDP glucuronosyltransferase family 1 member A1 [Source:HGNC Symbol;Acc:HGNC:12530],ENTREZGENE_ACC
54659,ENSG00000288702,UGT1A3,UDP glucuronosyltransferase family 1 member A3 [Source:HGNC Symbol;Acc:HGNC:12535],ENTREZGENE_ACC
54490,ENSG00000135226,UGT2B28,UDP glucuronosyltransferase family 2 member B28 [Source:HGNC Symbol;Acc:HGNC:13479],ENTREZGENE_ACC
7364,ENSG00000171234,UGT2B7,UDP glucuronosyltransferase family 2 member B7 [Source:HGNC Symbol;Acc:HGNC:12554],ENTREZGENE_ACC
7367,ENSG00000197888,UGT2B17,UDP glucuronosyltransferase family 2 member B17 [Source:HGNC Symbol;Acc:HGNC:12547],ENTREZGENE_ACC
10720,ENSG00000213759,UGT2B11,UDP glucuronosyltransferase family 2 member B11 [Source:HGNC Symbol;Acc:HGNC:12545],ENTREZGENE_ACC
7363,ENSG00000156096,UGT2B4,UDP glucuronosyltransferase family 2 member B4 [Source:HGNC Symbol;Acc:HGNC:12553],ENTREZGENE_ACC
7365,ENSG00000109181,UGT2B10,UDP glucuronosyltransferase family 2 member B10 [Source:HGNC Symbol;Acc:HGNC:12544],ENTREZGENE_ACC
7366,ENSG00000196620,UGT2B15,UDP glucuronosyltransferase family 2 member B15 [Source:HGNC Symbol;Acc:HGNC:12546],ENTREZGENE_ACC
7390,ENSG00000188690,UROS,uroporphyrinogen III synthase [Source:HGNC Symbol;Acc:HGNC:12592],ENTREZGENE_ACC
7389,ENSG00000126088,UROD,uroporphyrinogen decarboxylase [Source:HGNC Symbol;Acc:HGNC:12591],ENTREZGENE_ACC
131669,ENSG00000159650,UROC1,urocanate hydratase 1 [Source:HGNC Symbol;Acc:HGNC:26444],ENTREZGENE_ACC
54963,ENSG00000198276,UCKL1,uridine-cytidine kinase 1 like 1 [Source:HGNC Symbol;Acc:HGNC:15938],ENTREZGENE_ACC
10998,ENSG00000083807,SLC27A5,solute carrier family 27 member 5 [Source:HGNC Symbol;Acc:HGNC:10999],ENTREZGENE_ACC
7498,ENSG00000158125,XDH,xanthine dehydrogenase [Source:HGNC Symbol;Acc:HGNC:12805],ENTREZGENE_ACC
64131,ENSG00000103489,XYLT1,xylosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:15516],ENTREZGENE_ACC
64132,ENSG00000015532,XYLT2,xylosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:15517],ENTREZGENE_ACC
2638,ENSG00000145321,GC,GC vitamin D binding protein [Source:HGNC Symbol;Acc:HGNC:4187],ENTREZGENE_ACC
4036,ENSG00000081479,LRP2,LDL receptor related protein 2 [Source:HGNC Symbol;Acc:HGNC:6694],ENTREZGENE_ACC
8029,ENSG00000107611,CUBN,cubilin [Source:HGNC Symbol;Acc:HGNC:2548],ENTREZGENE_ACC
9123,ENSG00000141526,SLC16A3,solute carrier family 16 member 3 [Source:HGNC Symbol;Acc:HGNC:10924],ENTREZGENE_ACC
117247,ENSG00000112394,SLC16A10,solute carrier family 16 member 10 [Source:HGNC Symbol;Acc:HGNC:17027],ENTREZGENE_ACC
4363,ENSG00000103222,ABCC1,ATP binding cassette subfamily C member 1 [Source:HGNC Symbol;Acc:HGNC:51],ENTREZGENE_ACC
6573,ENSG00000173638,SLC19A1,solute carrier family 19 member 1 [Source:HGNC Symbol;Acc:HGNC:10937],ENTREZGENE_ACC
6570,ENSG00000036565,SLC18A1,solute carrier family 18 member A1 [Source:HGNC Symbol;Acc:HGNC:10934],ENTREZGENE_ACC
6571,ENSG00000165646,SLC18A2,solute carrier family 18 member A2 [Source:HGNC Symbol;Acc:HGNC:10935],ENTREZGENE_ACC
2348,ENSG00000110195,FOLR1,folate receptor alpha [Source:HGNC Symbol;Acc:HGNC:3791],ENTREZGENE_ACC
2352,ENSG00000110203,FOLR3,folate receptor gamma [Source:HGNC Symbol;Acc:HGNC:3795],ENTREZGENE_ACC
6529,ENSG00000157103,SLC6A1,solute carrier family 6 member 1 [Source:HGNC Symbol;Acc:HGNC:11042],ENTREZGENE_ACC
6538,ENSG00000132164,SLC6A11,solute carrier family 6 member 11 [Source:HGNC Symbol;Acc:HGNC:11044],ENTREZGENE_ACC
6539,ENSG00000111181,SLC6A12,solute carrier family 6 member 12 [Source:HGNC Symbol;Acc:HGNC:11045],ENTREZGENE_ACC
6540,ENSG00000010379,SLC6A13,solute carrier family 6 member 13 [Source:HGNC Symbol;Acc:HGNC:11046],ENTREZGENE_ACC
43,ENSG00000087085,ACHE,acetylcholinesterase (Cartwright blood group) [Source:HGNC Symbol;Acc:HGNC:108],ENTREZGENE_ACC
6572,ENSG00000187714,SLC18A3,solute carrier family 18 member A3 [Source:HGNC Symbol;Acc:HGNC:10936],ENTREZGENE_ACC
3177,ENSG00000174669,SLC29A2,solute carrier family 29 member 2 [Source:HGNC Symbol;Acc:HGNC:11004],ENTREZGENE_ACC
64078,ENSG00000197506,SLC28A3,solute carrier family 28 member 3 [Source:HGNC Symbol;Acc:HGNC:16484],ENTREZGENE_ACC
9153,ENSG00000137860,SLC28A2,solute carrier family 28 member 2 [Source:HGNC Symbol;Acc:HGNC:11002],ENTREZGENE_ACC
9154,ENSG00000156222,SLC28A1,solute carrier family 28 member 1 [Source:HGNC Symbol;Acc:HGNC:11001],ENTREZGENE_ACC
952,ENSG00000004468,CD38,CD38 molecule [Source:HGNC Symbol;Acc:HGNC:1667],ENTREZGENE_ACC
64849,ENSG00000158296,SLC13A3,solute carrier family 13 member 3 [Source:HGNC Symbol;Acc:HGNC:14430],ENTREZGENE_ACC
6510,ENSG00000105281,SLC1A5,solute carrier family 1 member 5 [Source:HGNC Symbol;Acc:HGNC:10943],ENTREZGENE_ACC
6509,ENSG00000115902,SLC1A4,solute carrier family 1 member 4 [Source:HGNC Symbol;Acc:HGNC:10942],ENTREZGENE_ACC
56301,ENSG00000130876,SLC7A10,solute carrier family 7 member 10 [Source:HGNC Symbol;Acc:HGNC:11058],ENTREZGENE_ACC
6520,ENSG00000168003,SLC3A2,solute carrier family 3 member 2 [Source:HGNC Symbol;Acc:HGNC:11026],ENTREZGENE_ACC
153201,ENSG00000186335,SLC36A2,solute carrier family 36 member 2 [Source:HGNC Symbol;Acc:HGNC:18762],ENTREZGENE_ACC
11254,ENSG00000268104,SLC6A14,solute carrier family 6 member 14 [Source:HGNC Symbol;Acc:HGNC:11047],ENTREZGENE_ACC
340024,ENSG00000174358,SLC6A19,solute carrier family 6 member 19 [Source:HGNC Symbol;Acc:HGNC:27960],ENTREZGENE_ACC
54407,ENSG00000134294,SLC38A2,solute carrier family 38 member 2 [Source:HGNC Symbol;Acc:HGNC:13448],ENTREZGENE_ACC
55089,ENSG00000139209,SLC38A4,solute carrier family 38 member 4 [Source:HGNC Symbol;Acc:HGNC:14679],ENTREZGENE_ACC
57393,ENSG00000147003,CLTRN,"collectrin, amino acid transport regulator [Source:HGNC Symbol;Acc:HGNC:29437]",ENTREZGENE_ACC
59272,ENSG00000130234,ACE2,angiotensin converting enzyme 2 [Source:HGNC Symbol;Acc:HGNC:13557],ENTREZGENE_ACC
6541,ENSG00000139514,SLC7A1,solute carrier family 7 member 1 [Source:HGNC Symbol;Acc:HGNC:11057],ENTREZGENE_ACC
6542,ENSG00000003989,SLC7A2,solute carrier family 7 member 2 [Source:HGNC Symbol;Acc:HGNC:11060],ENTREZGENE_ACC
81539,ENSG00000111371,SLC38A1,solute carrier family 38 member 1 [Source:HGNC Symbol;Acc:HGNC:13447],ENTREZGENE_ACC
84889,ENSG00000165349,SLC7A3,solute carrier family 7 member 3 [Source:HGNC Symbol;Acc:HGNC:11061],ENTREZGENE_ACC
10991,ENSG00000188338,SLC38A3,solute carrier family 38 member 3 [Source:HGNC Symbol;Acc:HGNC:18044],ENTREZGENE_ACC
92745,ENSG00000017483,SLC38A5,solute carrier family 38 member 5 [Source:HGNC Symbol;Acc:HGNC:18070],ENTREZGENE_ACC
11136,ENSG00000021488,SLC7A9,solute carrier family 7 member 9 [Source:HGNC Symbol;Acc:HGNC:11067],ENTREZGENE_ACC
276,ENSG00000237763,AMY1A,amylase alpha 1A [Source:HGNC Symbol;Acc:HGNC:474],ENTREZGENE_ACC
277,ENSG00000174876,AMY1B,amylase alpha 1B [Source:HGNC Symbol;Acc:HGNC:475],ENTREZGENE_ACC
278,ENSG00000187733,AMY1C,amylase alpha 1C [Source:HGNC Symbol;Acc:HGNC:476],ENTREZGENE_ACC
279,ENSG00000243480,AMY2A,amylase alpha 2A [Source:HGNC Symbol;Acc:HGNC:477],ENTREZGENE_ACC
280,ENSG00000240038,AMY2B,amylase alpha 2B [Source:HGNC Symbol;Acc:HGNC:478],ENTREZGENE_ACC
6519,ENSG00000138079,SLC3A1,solute carrier family 3 member 1 [Source:HGNC Symbol;Acc:HGNC:11025],ENTREZGENE_ACC
9057,ENSG00000103064,SLC7A6,solute carrier family 7 member 6 [Source:HGNC Symbol;Acc:HGNC:11064],ENTREZGENE_ACC
9962,ENSG00000089057,SLC23A2,solute carrier family 23 member 2 [Source:HGNC Symbol;Acc:HGNC:10973],ENTREZGENE_ACC
9963,ENSG00000170482,SLC23A1,solute carrier family 23 member 1 [Source:HGNC Symbol;Acc:HGNC:10974],ENTREZGENE_ACC
6505,ENSG00000106688,SLC1A1,solute carrier family 1 member 1 [Source:HGNC Symbol;Acc:HGNC:10939],ENTREZGENE_ACC
6506,ENSG00000110436,SLC1A2,solute carrier family 1 member 2 [Source:HGNC Symbol;Acc:HGNC:10940],ENTREZGENE_ACC
6507,ENSG00000079215,SLC1A3,solute carrier family 1 member 3 [Source:HGNC Symbol;Acc:HGNC:10941],ENTREZGENE_ACC
6511,ENSG00000105143,SLC1A6,solute carrier family 1 member 6 [Source:HGNC Symbol;Acc:HGNC:10944],ENTREZGENE_ACC
6512,ENSG00000162383,SLC1A7,solute carrier family 1 member 7 [Source:HGNC Symbol;Acc:HGNC:10945],ENTREZGENE_ACC
953,ENSG00000138185,ENTPD1,ectonucleoside triphosphate diphosphohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:3363],ENTREZGENE_ACC
954,ENSG00000054179,ENTPD2,ectonucleoside triphosphate diphosphohydrolase 2 [Source:HGNC Symbol;Acc:HGNC:3364],ENTREZGENE_ACC
955,ENSG00000197586,ENTPD6,ectonucleoside triphosphate diphosphohydrolase 6 [Source:HGNC Symbol;Acc:HGNC:3368],ENTREZGENE_ACC
956,ENSG00000168032,ENTPD3,ectonucleoside triphosphate diphosphohydrolase 3 [Source:HGNC Symbol;Acc:HGNC:3365],ENTREZGENE_ACC
377841,ENSG00000188833,ENTPD8,ectonucleoside triphosphate diphosphohydrolase 8 [Source:HGNC Symbol;Acc:HGNC:24860],ENTREZGENE_ACC
29881,ENSG00000015520,NPC1L1,NPC1 like intracellular cholesterol transporter 1 [Source:HGNC Symbol;Acc:HGNC:7898],ENTREZGENE_ACC
949,ENSG00000073060,SCARB1,scavenger receptor class B member 1 [Source:HGNC Symbol;Acc:HGNC:1664],ENTREZGENE_ACC
140679,ENSG00000101438,SLC32A1,solute carrier family 32 member 1 [Source:HGNC Symbol;Acc:HGNC:11018],ENTREZGENE_ACC
10599,ENSG00000134538,SLCO1B1,solute carrier organic anion transporter family member 1B1 [Source:HGNC Symbol;Acc:HGNC:10959],ENTREZGENE_ACC
1244,ENSG00000023839,ABCC2,ATP binding cassette subfamily C member 2 [Source:HGNC Symbol;Acc:HGNC:53],ENTREZGENE_ACC
8714,ENSG00000108846,ABCC3,ATP binding cassette subfamily C member 3 [Source:HGNC Symbol;Acc:HGNC:54],ENTREZGENE_ACC
28234,ENSG00000111700,SLCO1B3,solute carrier organic anion transporter family member 1B3 [Source:HGNC Symbol;Acc:HGNC:10961],ENTREZGENE_ACC
8884,ENSG00000138074,SLC5A6,solute carrier family 5 member 6 [Source:HGNC Symbol;Acc:HGNC:11041],ENTREZGENE_ACC
80704,ENSG00000135917,SLC19A3,solute carrier family 19 member 3 [Source:HGNC Symbol;Acc:HGNC:16266],ENTREZGENE_ACC
490,ENSG00000070961,ATP2B1,ATPase plasma membrane Ca2+ transporting 1 [Source:HGNC Symbol;Acc:HGNC:814],ENTREZGENE_ACC
491,ENSG00000157087,ATP2B2,ATPase plasma membrane Ca2+ transporting 2 [Source:HGNC Symbol;Acc:HGNC:815],ENTREZGENE_ACC
492,ENSG00000067842,ATP2B3,ATPase plasma membrane Ca2+ transporting 3 [Source:HGNC Symbol;Acc:HGNC:816],ENTREZGENE_ACC
493,ENSG00000058668,ATP2B4,ATPase plasma membrane Ca2+ transporting 4 [Source:HGNC Symbol;Acc:HGNC:817],ENTREZGENE_ACC
10057,ENSG00000114770,ABCC5,ATP binding cassette subfamily C member 5 [Source:HGNC Symbol;Acc:HGNC:56],ENTREZGENE_ACC
10257,ENSG00000125257,ABCC4,ATP binding cassette subfamily C member 4 [Source:HGNC Symbol;Acc:HGNC:55],ENTREZGENE_ACC
85320,ENSG00000121270,ABCC11,ATP binding cassette subfamily C member 11 [Source:HGNC Symbol;Acc:HGNC:14639],ENTREZGENE_ACC
6543,ENSG00000118160,SLC8A2,solute carrier family 8 member A2 [Source:HGNC Symbol;Acc:HGNC:11069],ENTREZGENE_ACC
6546,ENSG00000183023,SLC8A1,solute carrier family 8 member A1 [Source:HGNC Symbol;Acc:HGNC:11068],ENTREZGENE_ACC
6547,ENSG00000100678,SLC8A3,solute carrier family 8 member A3 [Source:HGNC Symbol;Acc:HGNC:11070],ENTREZGENE_ACC
6579,ENSG00000084453,SLCO1A2,solute carrier organic anion transporter family member 1A2 [Source:HGNC Symbol;Acc:HGNC:10956],ENTREZGENE_ACC
6554,ENSG00000100652,SLC10A1,solute carrier family 10 member 1 [Source:HGNC Symbol;Acc:HGNC:10905],ENTREZGENE_ACC
6555,ENSG00000125255,SLC10A2,solute carrier family 10 member 2 [Source:HGNC Symbol;Acc:HGNC:10906],ENTREZGENE_ACC
8647,ENSG00000073734,ABCB11,ATP binding cassette subfamily B member 11 [Source:HGNC Symbol;Acc:HGNC:42],ENTREZGENE_ACC
60482,ENSG00000115665,SLC5A7,solute carrier family 5 member 7 [Source:HGNC Symbol;Acc:HGNC:14025],ENTREZGENE_ACC
6582,ENSG00000112499,SLC22A2,solute carrier family 22 member 2 [Source:HGNC Symbol;Acc:HGNC:10966],ENTREZGENE_ACC
6584,ENSG00000197375,SLC22A5,solute carrier family 22 member 5 [Source:HGNC Symbol;Acc:HGNC:10969],ENTREZGENE_ACC
64240,ENSG00000138075,ABCG5,ATP binding cassette subfamily G member 5 [Source:HGNC Symbol;Acc:HGNC:13886],ENTREZGENE_ACC
64241,ENSG00000143921,ABCG8,ATP binding cassette subfamily G member 8 [Source:HGNC Symbol;Acc:HGNC:13887],ENTREZGENE_ACC
9058,ENSG00000007216,SLC13A2,solute carrier family 13 member 2 [Source:HGNC Symbol;Acc:HGNC:10917],ENTREZGENE_ACC
284111,ENSG00000141485,SLC13A5,solute carrier family 13 member 5 [Source:HGNC Symbol;Acc:HGNC:23089],ENTREZGENE_ACC
5172,ENSG00000091137,SLC26A4,solute carrier family 26 member 4 [Source:HGNC Symbol;Acc:HGNC:8818],ENTREZGENE_ACC
65010,ENSG00000225697,SLC26A6,solute carrier family 26 member 6 [Source:HGNC Symbol;Acc:HGNC:14472],ENTREZGENE_ACC
386757,ENSG00000290985,SLC6A10P,"solute carrier family 6 member 10, pseudogene [Source:NCBI gene (formerly Entrezgene);Acc:386757]",ENTREZGENE_ACC
6535,ENSG00000130821,SLC6A8,solute carrier family 6 member 8 [Source:HGNC Symbol;Acc:HGNC:11055],ENTREZGENE_ACC
6583,ENSG00000197208,SLC22A4,solute carrier family 22 member 4 [Source:HGNC Symbol;Acc:HGNC:10968],ENTREZGENE_ACC
8140,ENSG00000103257,SLC7A5,solute carrier family 7 member 5 [Source:HGNC Symbol;Acc:HGNC:11063],ENTREZGENE_ACC
23428,ENSG00000092068,SLC7A8,solute carrier family 7 member 8 [Source:HGNC Symbol;Acc:HGNC:11066],ENTREZGENE_ACC
124935,ENSG00000167703,SLC43A2,solute carrier family 43 member 2 [Source:HGNC Symbol;Acc:HGNC:23087],ENTREZGENE_ACC
23657,ENSG00000151012,SLC7A11,solute carrier family 7 member 11 [Source:HGNC Symbol;Acc:HGNC:11059],ENTREZGENE_ACC
23539,ENSG00000100156,SLC16A8,solute carrier family 16 member 8 [Source:HGNC Symbol;Acc:HGNC:16270],ENTREZGENE_ACC
6515,ENSG00000059804,SLC2A3,solute carrier family 2 member 3 [Source:HGNC Symbol;Acc:HGNC:11007],ENTREZGENE_ACC
6517,ENSG00000181856,SLC2A4,solute carrier family 2 member 4 [Source:HGNC Symbol;Acc:HGNC:11009],ENTREZGENE_ACC
11309,ENSG00000137491,SLCO2B1,solute carrier organic anion transporter family member 2B1 [Source:HGNC Symbol;Acc:HGNC:10962],ENTREZGENE_ACC
6530,ENSG00000103546,SLC6A2,solute carrier family 6 member 2 [Source:HGNC Symbol;Acc:HGNC:11048],ENTREZGENE_ACC
6531,ENSG00000142319,SLC6A3,solute carrier family 6 member 3 [Source:HGNC Symbol;Acc:HGNC:11049],ENTREZGENE_ACC
6581,ENSG00000146477,SLC22A3,solute carrier family 22 member 3 [Source:HGNC Symbol;Acc:HGNC:10967],ENTREZGENE_ACC
28231,ENSG00000101187,SLCO4A1,solute carrier organic anion transporter family member 4A1 [Source:HGNC Symbol;Acc:HGNC:10953],ENTREZGENE_ACC
53919,ENSG00000139155,SLCO1C1,solute carrier organic anion transporter family member 1C1 [Source:HGNC Symbol;Acc:HGNC:13819],ENTREZGENE_ACC
28232,ENSG00000176463,SLCO3A1,solute carrier organic anion transporter family member 3A1 [Source:HGNC Symbol;Acc:HGNC:10952],ENTREZGENE_ACC
10999,ENSG00000167114,SLC27A4,solute carrier family 27 member 4 [Source:HGNC Symbol;Acc:HGNC:10998],ENTREZGENE_ACC
11000,ENSG00000143554,SLC27A3,solute carrier family 27 member 3 [Source:HGNC Symbol;Acc:HGNC:10997],ENTREZGENE_ACC
376497,ENSG00000130304,SLC27A1,solute carrier family 27 member 1 [Source:HGNC Symbol;Acc:HGNC:10995],ENTREZGENE_ACC
79901,ENSG00000071967,CYBRD1,cytochrome b reductase 1 [Source:HGNC Symbol;Acc:HGNC:20797],ENTREZGENE_ACC
155184,ENSG00000197241,SLC2A7,solute carrier family 2 member 7 [Source:HGNC Symbol;Acc:HGNC:13445],ENTREZGENE_ACC
29988,ENSG00000136856,SLC2A8,solute carrier family 2 member 8 [Source:HGNC Symbol;Acc:HGNC:13812],ENTREZGENE_ACC
6514,ENSG00000163581,SLC2A2,solute carrier family 2 member 2 [Source:HGNC Symbol;Acc:HGNC:11006],ENTREZGENE_ACC
